200210220246 294 2  416  107.77
200210220251 194 2  215   81.44
200210220258 194 2  915  115.05
200210220258 294 2  915  115.05
200210220259 194 2  916  115.05
200210220261 194 2  914  345.14
200210220261 294 2  914  345.14
200210220264 194 2  915  115.05
200210220269 194 2  916  115.05
200210220269 294 2  916  115.05
200210220273 194 2  916  115.05
200210220275 199 2  916  115.05
200210220276 194 2  914  345.14
200210220276 210 2  914  345.14
200210220286 194 2  316  108.58
200210220286 294 2  316  108.58
200210220290 194 2 1616  106.65
200210220291 194 2 1616  106.65
200210220293 194 2 1616  106.65
200210220295 197 2  616   98.56
200210220295 294 2  616   98.56
200210220298 194 2  614  344.96
200210220300 1 8 2  616   98.56
200210220302 194 2  616   98.56
200210220302 294 2  616   98.56
200210220323 194 2  416  107.77
200210220323 294 2  416  107.77
200210220323 394 2  416  107.77
200210220325 194 2  414  323.32
200210220325 297 2  414  323.32
200210220326 199 2  213   27.15
200210220328 194 2 1616  106.65
200210220328 294 2 1616  106.65
200210220329 194 2 1616  106.65
200210220329 294 2 1616  106.65
200210220338 194 2  314  352.90
200210220338 297 2  314  352.90
200210220344 197 2  612   49.28
200210220347 194 2  615   98.56
200210220347 294 2  615   98.56
200210220348 194 2  616   98.56
200210220348 294 2  616   98.56
200210220351 194 2  616   98.56
200210220351 294 2  616   98.56
200210220360 194 2  116  108.58
200210220360 294 2  116  108.58
200210220361 111 2  111   27.15
200210220361 294 2  111   27.15
200210220365 194 2  112   27.15
200210220365 294 2  112   27.15
200210220378 194 2  313   27.15
200210220378 294 2  313   27.15
200210220379 194 2  315   81.44
200210220379 297 2  315   81.44
200210220381 197 2  316  108.58
200210220382 194 2  614  344.96
200210220382 297 2  614  344.96
200210220387 194 2  616   98.56
200210220389 1 3 2  915  115.05
200210220389 294 2  915  115.05
200210220392 194 2  916  115.05
200210220396 194 2  915  115.05
200210220396 294 2  915  115.05
200210220396 394 2  915  115.05
200210220400 194 2  914  345.14
200210220400 294 2  914  345.14
200210220402 194 2  916  115.05
200210220402 294 2  916  115.05
200210220404 194 2  915  115.05
200210220408 194 2  915  115.05
200210220408 294 2  915  115.05
200210220410 194 2 1616  106.65
200210220416 194 2 1014  359.41
