200210220378 2 0 2  313   27.15
200210220379 1 0 2  315   81.44
200210220379 2 0 2  315   81.44
200210220381 1 0 2  316  108.58
200210220382 1 0 2  614  344.96
200210220382 2 0 2  614  344.96
200210220387 150 2  616   98.56
200210220389 1 0 2  915  115.05
200210220389 2 0 2  915  115.05
200210220392 150 2  916  115.05
200210220396 1 0 2  915  115.05
200210220396 2 0 2  915  115.05
200210220396 3 0 2  915  115.05
200210220400 1 0 2  914  345.14
200210220400 2 0 2  914  345.14
200210220402 1 0 2  916  115.05
200210220402 2 0 2  916  115.05
200210220404 1 0 2  915  115.05
200210220408 1 0 2  915  115.05
200210220408 2 0 2  915  115.05
200210220410 1 0 2 1616  106.65
200210220416 1 0 2 1014  359.41
200210220416 2 0 2 1014  359.41
200210220420 1 0 2 1014  359.41
200210220439 1 0 2 1015   89.85
200210220439 2 0 2 1015   89.85
200210220439 3 0 2 1015   89.85
200210220442 1 0 2  314  352.90
200210220442 2 0 2  314  352.90
200210220446 1 0 2  313   27.15
200210220451 1 0 2  316  108.58
200210220451 2 0 2  316  108.58
200210220453 1 0 2  215   81.44
200210220454 1 0 2  212   27.15
200210220454 2 0 2  212   27.15
200210220455 1 0 2  216  108.58
200210220461 1 0 2  914  345.14
200210220461 2 0 2  914  345.14
200210220463 1 0 2  913   57.52
200210220463 2 0 2  913   57.52
200210220464 1 0 2  915  115.05
200210220467 1 0 2  615   98.56
200210220468 1 0 2  611   49.28
200210220472 1 0 2  614  344.96
200210220472 250 2  614  344.96
200210220478 1 0 2  616   98.56
200210220478 2 0 2  616   98.56
200210220480 1 0 2  615   98.56
200210220499 1 0 2  416  107.77
200210220499 2 0 2  416  107.77
200210220500 1 0 2  414  323.32
200210220500 2 0 2  414  323.32
200210220503 1 0 2 1016   89.85
200210220503 2 0 2 1016   89.85
200210220506 1 0 2  116  108.58
200210220506 2 0 2  116  108.58
200210220511 1 0 2  114  352.90
200210220511 2 0 2  114  352.90
200210220512 1 0 2  115   81.44
200210220516 1 0 2  111   27.15
200210220517 1 0 2  116  108.58
200210220517 2 0 2  116  108.58
200210220523 1 0 2  613   49.28
200210220524 1 0 2 1616  106.65
200210220524 2 0 2 1616  106.65
200210220525 1 0 2 1616  106.65
200210220538 1 0 2  916  115.05
200210220538 2 0 2  916  115.05
200210220540 1 0 2  914  345.14
200210220540 2 0 2  914  345.14
200210220543 1 0 2  916  115.05
200210220545 150 2  916  115.05
200210220549 1 0 2  915  115.05
200210220549 2 0 2  915  115.05
200210220552 1 0 2  914  345.14
200210220560 1 0 2  215   81.44
200210220561 1 0 2  216  108.58
200210220561 2 0 2  216  108.58
200210220565 1 0 2  216  108.58
200210220581 1 0 2  416  107.77
200210220585 1 0 2 1016   89.85
200210220587 1 0 2 1014  359.41
200210220596 1 0 2  214  352.90
200210220596 2 0 2  214  352.90
200210220596 3 0 2  214  352.90
200210220597 1 0 2  314  352.90
200210220603 1 0 2  316  108.58
200210220603 2 0 2  316  108.58
200210220604 1 0 2  311   27.15
200210220608 1 0 2  616   98.56
200210220611 1 0 2  614  344.96
200210220611 2 0 2  614  344.96
200210220615 1 0 2  615   98.56
200210220617 1 0 2  916  115.05
200210220617 2 0 2  916  115.05
200210220618 1 0 2  915  115.05
200210220618 2 0 2  915  115.05
200210220618 3 0 2  915  115.05
200210220622 1 0 2  911   57.52
200210220622 2 0 2  911   57.52
200210220623 1 0 2  916  115.05
200210220623 2 0 2  916  115.05
200210220623 3 0 2  916  115.05
200210220623 4 0 2  916  115.05
200210220624 1 0 2  911   57.52
200210220624 2 0 2  911   57.52
200210220626 1 0 2  916  115.05
200210220629 1 0 2  914  345.14
200210220629 2 0 2  914  345.14
200210220656 1 0 2  215   81.44
200210220656 2 0 2  215   81.44
200210220662 1 0 2  311   27.15
200210220662 2 0 2  311   27.15
200210220664 1 0 2  311   27.15
200210220664 2 0 2  311   27.15
200210220667 1 0 2  311   27.15
200210220667 2 0 2  311   27.15
200210220672 1 0 2  314  352.90
200210220672 2 0 2  314  352.90
200210220676 1 0 2  616   98.56
200210220678 1 0 2  616   98.56
200210220683 1 0 2  614  344.96
200210220689 1 0 2  916  115.05
200210220690 1 0 2  915  115.05
200210220693 1 0 2  911   57.52
200210220693 2 0 2  911   57.52
200210220694 1 0 2  916  115.05
200210220698 1 0 2 1614  319.94
200210220698 2 0 2 1614  319.94
200210220699 1 0 2 1616  106.65
200210220699 2 0 2 1616  106.65
200210220703 1 0 2  414  323.32
200210220703 2 0 2  414  323.32
200210220709 1 0 2  416  107.77
200210220709 2 0 2  416  107.77
200210220712 1 0 2 1014  359.41
200210220715 1 0 2 1016   89.85
200210220715 2 0 2 1016   89.85
200210220718 1 0 2  413   53.89
200210220718 2 0 2  413   53.89
200210220721 150 2  414  323.32
200210220723 1 0 2 1016   89.85
200210220723 2 0 2 1016   89.85
200210220724 1 0 2 1016   89.85
200210220724 2 0 2 1016   89.85
200210220724 3 0 2 1016   89.85
200210220728 1 0 2  216  108.58
200210220732 1 0 2  315   81.44
200210220732 2 0 2  315   81.44
200210220736 1 0 2  312   27.15
200210220736 2 0 2  312   27.15
200210220740 1 0 2  611   49.28
200210220741 1 3 2  616   98.56
200210220743 1 0 2  615   98.56
200210220743 2 0 2  615   98.56
200210220759 1 0 2  213   27.15
200210220759 2 0 2  213   27.15
200210220764 1 0 2  212   27.15
200210220765 1 0 2  214  352.90
200210220767 1 0 2  113   27.15
200210220768 1 0 2  114  352.90
200210220778 1 0 2  115   81.44
200210220780 1 0 2  116  108.58
200210220780 2 0 2  116  108.58
200210220790 1 0 2  316  108.58
200210220790 2 0 2  316  108.58
200210220797 1 0 2  416  107.77
200210220800 1 0 2  414  323.32
200210220800 2 0 2  414  323.32
200210220805 1 0 2  616   98.56
200210220805 2 0 2  616   98.56
200210220807 1 0 2  614  344.96
200210220810 1 0 2  616   98.56
200210220810 2 0 2  616   98.56
200210220810 3 0 2  616   98.56
200210220812 1 0 2  615   98.56
200210220816 1 1 2  616   98.56
200210220817 1 0 2  611   49.28
200210220823 1 0 2  914  345.14
200210220826 1 0 2  915  115.05
200210220826 2 0 2  915  115.05
200210220828 1 0 2  916  115.05
200210220828 2 0 2  916  115.05
200210220828 3 0 2  916  115.05
200210220832 150 2  916  115.05
200210220833 1 0 2  914  345.14
200210220836 1 0 2  912   57.52
200210220840 1 0 2 1014  359.41
200210220840 2 0 2 1014  359.41
200210220841 1 0 2 1016   89.85
200210220845 1 0 2 1614  319.94
200210220846 1 0 2 1615  106.65
200210220847 1 0 2 1615  106.65
200210220848 1 0 2 1616  106.65
200210220858 1 0 2 1016   89.85
200210220858 2 0 2 1016   89.85
200210220860 1 0 2 1014  359.41
200210220864 1 0 2 1016   89.85
200210220864 2 0 2 1016   89.85
200210220870 1 0 2  212   27.15
200210220870 2 0 2  212   27.15
200210220878 1 0 2  314  352.90
200210220888 1 0 2  916  115.05
200210220890 1 0 2  914  345.14
200210220895 1 0 2  614  344.96
200210220895 2 0 2  614  344.96
200210220898 1 0 2  615   98.56
200210220898 2 0 2  615   98.56
200210220898 3 0 2  615   98.56
200210220903 1 0 2  612   49.28
200210220920 1 0 2  115   81.44
200210220925 1 0 2  211   27.15
200210220928 1 0 2  216  108.58
200210220928 2 0 2  216  108.58
200210220929 1 0 2  215   81.44
200210220929 2 0 2  215   81.44
200210220937 1 0 2  313   27.15
200210220937 2 0 2  313   27.15
200210220942 1 0 2  614  344.96
200210220943 1 0 2  615   98.56
200210220947 1 0 2  616   98.56
200210220951 1 0 2  615   98.56
200210220955 1 0 2 1014  359.41
200210220979 1 0 2 1016   89.85
200210220980 1 0 2 1016   89.85
200210220983 1 0 2 1014  359.41
200210220983 250 2 1014  359.41
200210220985 1 0 2 1016   89.85
200210220985 2 0 2 1016   89.85
200210220986 1 0 2 1012   89.85
200210220986 2 0 2 1012   89.85
200210220987 1 0 2 1016   89.85
200210220987 250 2 1016   89.85
200210220988 1 0 2 1015   89.85
200210220988 2 0 2 1015   89.85
200210220991 1 0 2  414  323.32
200210220991 2 2 2  414  323.32
200210220997 1 0 2  414  323.32
200210220997 2 0 2  414  323.32
200210220998 1 0 2  416  107.77
200210220998 2 0 2  416  107.77
200210221001 1 0 2  116  108.58
200210221008 1 0 2  114  352.90
200210221011 1 0 2  115   81.44
200210221011 2 0 2  115   81.44
200210221023 1 0 2  216  108.58
200210221023 2 0 2  216  108.58
200210221025 1 0 2  316  108.58
200210221025 2 0 2  316  108.58
200210221030 1 0 2  314  352.90
200210221031 1 0 2  315   81.44
200210221031 2 0 2  315   81.44
200210221032 150 2  312   27.15
200210221032 2 0 2  312   27.15
200210221034 1 0 2  611   49.28
200210221035 1 0 2  616   98.56
200210221038 1 0 2  614  344.96
200210221038 2 0 2  614  344.96
200210221039 1 0 2  616   98.56
200210221042 1 0 2  616   98.56
200210221042 2 0 2  616   98.56
200210221047 1 1 2  916  115.05
200210221049 1 0 2  911   57.52
200210221049 2 0 2  911   57.52
200210221054 1 0 2  914  345.14
200210221054 2 0 2  914  345.14
200210221057 1 0 2  915  115.05
200210221057 2 0 2  915  115.05
200210221061 1 0 2  914  345.14
200210221083 150 2  414  323.32
200210221084 1 0 2  415  107.77
200210221084 2 0 2  415  107.77
200210221087 1 0 2  416  107.77
200210221091 1 0 2 1016   89.85
200210221091 2 0 2 1016   89.85
200210221092 1 0 2 1013   89.85
200210221092 2 0 2 1013   89.85
200210221093 1 0 2 1016   89.85
200210221094 1 0 2 1016   89.85
200210221094 2 0 2 1016   89.85
200210221100 1 0 2  613   49.28
200210221104 150 2  614  344.96
200210221104 2 0 2  614  344.96
200210221115 1 0 2  315   81.44
200210221115 2 0 2  315   81.44
200210221118 1 0 2  316  108.58
200210221118 2 0 2  316  108.58
200210221119 1 0 2  313   27.15
200210221121 1 0 2  916  115.05
200210221121 2 0 2  916  115.05
200210221127 1 0 2  916  115.05
200210221127 2 0 2  916  115.05
200210221128 1 0 2  915  115.05
200210221128 2 0 2  915  115.05
200210221131 1 0 2  915  115.05
200210221131 2 0 2  915  115.05
200210221133 1 0 2  914  345.14
200210221133 2 0 2  914  345.14
200210221134 1 0 2  916  115.05
200210221134 2 0 2  916  115.05
200210221139 1 0 2  414  323.32
200210221143 1 0 2 1016   89.85
200210221143 2 0 2 1016   89.85
200210221144 1 0 2 1016   89.85
200210221144 2 0 2 1016   89.85
200210221145 1 0 2 1016   89.85
200210221145 2 0 2 1016   89.85
200210221149 1 0 2 1614  319.94
200210221153 1 0 2  213   27.15
200210221155 1 0 2  215   81.44
200210221155 2 0 2  215   81.44
200210221161 1 0 2  312   27.15
200210221163 1 0 2  315   81.44
200210221163 2 0 2  315   81.44
200210221166 1 0 2  314  352.90
200210221166 2 0 2  314  352.90
200210221169 1 0 2  315   81.44
200210221169 2 0 2  315   81.44
200210221176 1 0 2  914  345.14
200210221180 1 0 2  915  115.05
200210221209 1 0 2  316  108.58
200210221209 2 0 2  316  108.58
200210221220 1 0 2  613   49.28
200210221226 1 0 2  616   98.56
200210221229 1 0 2  614  344.96
200210221229 2 2 2  614  344.96
200210221231 1 0 2  616   98.56
200210221233 1 0 2  613   49.28
200210221233 2 0 2  613   49.28
200210221234 1 0 2  611   49.28
200210221234 2 0 2  611   49.28
200210221240 1 0 2  611   49.28
200210221240 250 2  611   49.28
200210221241 1 0 2  611   49.28
200210221241 2 0 2  611   49.28
200210221242 1 0 2  614  344.96
200210221242 2 0 2  614  344.96
200210221243 1 7 2  615   98.56
200210221244 1 0 2  611   49.28
200210221245 1 0 2  616   98.56
200210221245 2 0 2  616   98.56
200210221250 1 0 2  416  107.77
200210221252 1 0 2 1014  359.41
200210221261 1 0 2  414  323.32
200210221261 2 0 2  414  323.32
200210221265 1 0 2  416  107.77
200210221269 1 0 2 1616  106.65
200210221271 1 0 2 1614  319.94
200210221274 1 0 2  216  108.58
200210221275 1 0 2  214  352.90
200210221287 1 0 2  116  108.58
200210221288 1 0 2  114  352.90
200210221288 2 0 2  114  352.90
200210221298 1 0 2  113   27.15
200210221305 1 0 2  116  108.58
200210221306 1 0 2  113   27.15
200210221306 2 0 2  113   27.15
200210221308 1 0 2  114  352.90
200210221312 1 0 2  315   81.44
200210221312 2 0 2  315   81.44
200210221318 1 0 2  611   49.28
200210221321 1 0 2  615   98.56
200210221321 2 0 2  615   98.56
200210221327 1 0 2  916  115.05
200210221330 1 0 2  916  115.05
200210221331 1 0 2  914  345.14
200210221331 2 0 2  914  345.14
200210221337 150 2  916  115.05
200210221341 1 0 2  915  115.05
200210221341 2 0 2  915  115.05
200210221342 1 0 2  914  345.14
200210221342 2 0 2  914  345.14
200210221345 1 0 2  913   57.52
200210221367 1 0 2  113   27.15
200210221375 1 0 2  316  108.58
200210221375 2 0 2  316  108.58
200210221378 1 0 2  314  352.90
200210221378 2 0 2  314  352.90
200210221380 1 0 2  315   81.44
200210221380 2 0 2  315   81.44
200210221386 1 0 2  616   98.56
200210221386 2 0 2  616   98.56
200210221389 1 0 2  614  344.96
200210221389 2 0 2  614  344.96
200210221392 1 0 2  914  345.14
200210221392 2 0 2  914  345.14
200210221399 1 0 2  914  345.14
200210221399 2 0 2  914  345.14
200210221402 1 0 2  916  115.05
200210221405 1 0 2 1613  106.65
200210221420 1 0 2  112   27.15
200210221420 2 0 2  112   27.15
200210221428 1 0 2  312   27.15
200210221429 1 0 2  316  108.58
200210221435 1 0 2  315   81.44
200210221439 150 2  616   98.56
200210221441 1 0 2  615   98.56
200210221445 150 2  616   98.56
200210221448 1 0 2  614  344.96
200210221448 2 0 2  614  344.96
200210221449 1 0 2  616   98.56
200210221456 1 0 2  211   27.15
200210221456 2 0 2  211   27.15
200210221460 1 0 2  214  352.90
200210221460 2 0 2  214  352.90
200210221466 1 0 2  414  323.32
200210221466 2 0 2  414  323.32
200210221469 1 0 2  416  107.77
200210221469 2 0 2  416  107.77
200210221470 1 0 2  415  107.77
200210221473 1 0 2  413   53.89
200210221477 1 0 2  413   53.89
200210221478 1 0 2  416  107.77
200210221478 250 2  416  107.77
200210221480 1 0 2  414  323.32
200210221482 1 0 2  416  107.77
200210221482 2 0 2  416  107.77
200210221484 1 2 2 1016   89.85
200210221485 1 0 2 1013   89.85
200210221486 1 0 2 1016   89.85
200210221486 2 0 2 1016   89.85
200210221489 1 0 2 1014  359.41
200210221489 2 0 2 1014  359.41
200210221492 1 0 2 1016   89.85
200210221492 2 0 2 1016   89.85
200210221501 1 0 2 1015   89.85
200210221506 1 0 2  316  108.58
200210221506 2 0 2  316  108.58
200210221512 1 0 2  916  115.05
200210221512 2 0 2  916  115.05
200210221515 1 0 2  916  115.05
200210221515 2 0 2  916  115.05
200210221518 1 0 2  915  115.05
200210221518 2 0 2  915  115.05
200210221520 1 0 2  914  345.14
200210221521 1 0 2  916  115.05
200210221521 2 0 2  916  115.05
200210221526 1 0 2  916  115.05
200210221526 2 0 2  916  115.05
200210221529 1 0 2  914  345.14
200210221534 1 0 2  913   57.52
200210221534 2 0 2  913   57.52
